month,year,Superior,Michigan-Huron,St. Clair,Erie,Ontario
jan,1918,601.21,579.76,572.8,570.54,245.21
feb,1918,601.05,579.82,573.29,570.28,245.14
mar,1918,600.95,580.05,573.29,570.9,245.8
apr,1918,600.85,580.35,573.62,570.93,246.39
may,1918,601.12,580.68,574.15,570.8,246.36
jun,1918,601.51,580.94,574.61,571.19,246.26
jul,1918,601.71,580.94,574.7,571.26,246.03
aug,1918,601.8,580.74,574.67,571.16,245.64
sep,1918,601.87,580.51,574.48,571.16,245.34
oct,1918,601.84,580.15,574.25,570.93,245.21
nov,1918,601.9,580.12,574.08,570.93,245.21
dec,1918,601.84,579.99,574.11,570.9,245.14
jan,1919,601.64,579.86,574.61,570.87,245.28
feb,1919,601.44,579.66,573.75,570.87,245.14
mar,1919,601.31,579.66,574.15,571.23,245.28
apr,1919,601.41,579.95,574.61,571.69,245.8
may,1919,601.64,580.35,575.13,572.38,246.65
jun,1919,601.87,580.45,575.2,572.47,247.24
jul,1919,601.97,580.31,574.97,572.15,246.98
aug,1919,601.94,580.15,574.67,571.82,246.59
sep,1919,601.9,579.79,574.34,571.46,246.1
oct,1919,601.77,579.59,574.15,571.13,245.64
nov,1919,601.8,579.46,573.85,570.96,245.34
dec,1919,601.67,579.23,573.36,570.51,244.98
jan,1920,601.35,579.07,571.85,569.95,244.55
feb,1920,601.28,578.97,572.18,569.39,244.23
mar,1920,601.31,579.04,572.77,569.46,244.29
apr,1920,601.57,579.49,573.56,570.24,244.75
may,1920,601.8,579.66,573.95,571,244.88
jun,1920,602.1,579.82,574.18,571.16,244.82
jul,1920,602.3,580.02,574.38,571.29,244.95
aug,1920,602.36,579.92,574.41,571.29,244.88
sep,1920,602.17,579.82,574.18,571.06,244.72
oct,1920,602.03,579.56,573.88,570.73,244.52
nov,1920,601.8,579.3,573.62,570.57,244.46
dec,1920,601.57,579.07,573.52,570.64,244.69
jan,1921,601.41,578.87,573.72,570.6,244.78
feb,1921,601.12,578.81,572.28,570.47,244.69
mar,1921,600.98,578.81,573.49,570.77,245.08
apr,1921,601.15,579.2,574.15,571.36,245.67
may,1921,601.54,579.49,574.38,571.72,245.93
jun,1921,601.84,579.53,574.41,571.65,245.8
jul,1921,601.97,579.4,574.34,571.52,245.54
aug,1921,602.03,579.2,574.05,571.16,245.11
sep,1921,602.03,579.07,573.75,570.87,244.62
oct,1921,601.84,578.87,573.39,570.51,244.29
nov,1921,601.54,578.58,573.29,570.37,244.06
