Year ,School ,Speaker ,Event Type ,Controversy Topic ,Disinvitation? ,From Right or Left of Speaker ,Details
2016,University of Pennsylvania ,John Brennan ,Campus Speech/Debate ,Civil Liberties ,Yes ,From the Left ,view 
2016,George Washington University ,Action Bronson ,Other ,"Views on Gender, Other ",Yes ,From the Left ,view 
2016,San Francisco State University ,Nir Barkat ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Left ,view 
2016,Scripps College ,Madeline Albright ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2016,Syracuse University ,Madeline Albright ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Left ,view 
2016,University of Alabama - Huntsville ,Jeff Sessions ,Commencement ,"Other Political Views or Positions, Local Politics ",No ,From the Right ,view 
2016,"California State University, Los Angeles ",Ben Shapiro ,Campus Speech/Debate ,"Racial Issues, Civil Liberties ",Yes ,From the Left ,view 
2016,Brown University ,Janet Mock ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Left ,view 
2016,Virginia Tech ,Charles Murray ,Campus Speech/Debate ,Racial Issues ,No ,From the Left ,view 
2016,Williams College ,John Derbyshire ,Campus Speech/Debate ,Racial Issues ,Yes ,From the Left ,view 
2016,Seattle University ,Sara Pentlicky ,Campus Speech/Debate ,Views on Abortion/Contraception ,No ,From the Right ,view 
2016,University of Chicago ,Anita Alvarez ,Campus Speech/Debate ,Racial Issues ,Yes ,From the Left ,view 
2016,University of Chicago ,Bassem Eid ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Left ,view 
2016,Georgetown University ,Cecile Richards ,Campus Speech/Debate ,Views on Abortion/Contraception ,No ,From the Right ,view 
2016,Trinity College ,Action Bronson ,Other ,"Views on Gender, Other ",Yes ,From the Left ,view 
2016,Occidental College ,Randall Kennedy ,Commencement ,"Views on Gender, Other ",No ,From the Left ,view 
2016,Georgetown University ,Jeh Johnson ,Commencement ,Views on Immigration ,No ,From the Left ,view 
2016,University of Notre Dame ,Joe Biden ,Commencement ,"Views on Abortion/Contraception, Views on Sexual Orientation ",No ,From the Right ,view 
2016,University of Notre Dame ,John Boehner ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2016,Virginia Tech ,Jason Riley ,Campus Speech/Debate ,Racial Issues ,Yes ,From the Left ,view 
2016,New York University ,James Watson ,Campus Speech/Debate ,Racial Issues ,Yes ,From the Left ,view 
2016,Newman University ,Carol Beier ,Campus Speech/Debate ,Views on Abortion/Contraception ,Yes ,From the Right ,view 
2016,University of Miami ,Milo Yiannopoulos ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Views on Islam, Views on Gender, Other Political Views or Positions ",Yes ,From the Left ,view 
2016,Syracuse University ,Shimon Dotan ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Left ,view 
2016,Louisiana State University ,Milo Yiannopoulos ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Views on Islam, Views on Gender, Other Political Views or Positions ",No ,From the Left ,view 
2016,University of Washington ,Milo Yiannopoulos ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Views on Islam, Views on Gender, Other Political Views or Positions, Views on Immigration ",No ,From the Left ,view 
2016,Elon University ,Kathleen Parker ,Campus Speech/Debate ,"Racial Issues, Views on Gender ",No ,From the Left ,view 
2016,DePaul University ,Milo Yiannopolous ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Views on Gender ",Yes ,From the Left ,view 
2016,DePaul University ,Milo Yiannopolous ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Views on Gender ",Yes ,From the Left ,view 
2016,DePaul University ,Ben Shapiro ,Campus Speech/Debate ,"Racial Issues, Views on Islam, Views on Gender, Other Political Views or Positions ",Yes ,From the Left ,view 
2016,University of Colorado ,Milo Yiannopoulos ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Views on Islam, Views on Gender, Other Political Views or Positions, Views on Immigration ",No ,From the Left ,view 
2016,California Polytechnic State University ,Milo Yiannopoulos ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Views on Islam, Views on Gender, Other Political Views or Positions, Views on Immigration ",No ,From the Left ,view 
2016,"California State University, Northridge ",George Gawrych ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,N/A ,view 
2016,"University of California, Irvine ",Milo Yiannopoulos ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Views on Islam, Views on Gender, Other Political Views or Positions, Views on Immigration ",No ,From the Left ,view 
2016,New York University ,Milo Yiannopoulos ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Views on Islam, Views on Gender, Other Political Views or Positions, Views on Immigration ",Yes ,From the Left ,view 
2016,"University of California, Davis ",Milo Yiannopoulos ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Views on Islam, Views on Gender, Other Political Views or Positions, Views on Immigration ",No ,From the Left ,view 
2016,University of Chicago ,Ryan Bomberger ,Campus Speech/Debate ,Views on Abortion/Contraception ,Yes ,From the Left ,view 
2016,University of Texas at Austin ,Caroline Glick ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,N/A ,view 
2016,North Dakota State University ,Milo Yiannopoulos ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Views on Islam, Views on Gender, Other Political Views or Positions, Views on Immigration ",Yes ,From the Left ,view 
2016,Princeton University ,Miko Peled ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,N/A ,view 
2016,Texas A&M University ,Richard Spencer ,Campus Speech/Debate ,Racial Issues ,No ,From the Left ,view 
2016,Washington State University ,Milo Yiannopoulos ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Views on Islam, Views on Gender, Other Political Views or Positions, Views on Immigration ",No ,From the Left ,view 
2016,Hampshire College ,Emily Wong ,Commencement ,Other ,Yes ,From the Left ,view 
2015,Southern Illinois University Carbondale ,Bruce Rauner ,Commencement ,"Other Political Views or Positions, Local Politics ",No ,From the Left ,view 
2015,Williams College ,Suzanne Venker ,Campus Speech/Debate ,Views on Gender ,Yes ,From the Right ,view 
2015,"University of California, Berkeley ",Nicholas Dirks ,Campus Speech/Debate ,"Racial Issues, Other ",Yes ,From the Left ,view 
2015,New York University ,Harold Koh ,Teaching ,Civil Liberties ,No ,From the Left ,view 
2015,University of North Texas ,Greg Abbott ,Commencement ,"Views on Sexual Orientation, Views on Immigration ",No ,From the Left ,view 
2015,American Baptist College ,Yvette Flunder ,Campus Speech/Debate ,Views on Sexual Orientation ,No ,From the Right ,view 
2015,Saint Louis University ,Robert McCulloch ,Campus Speech/Debate ,Racial Issues ,No ,From the Left ,view 
2015,Duke University ,Asra Nomani ,Campus Speech/Debate ,Views on Islam ,Yes ,From the Left ,view 
2015,Kean University ,Common ,Commencement ,Other ,Yes ,From the Right ,view 
2015,Texas Tech University ,Angela Davis ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Right ,view 
2015,Oberlin College ,Christina Hoff Summers ,Campus Speech/Debate ,Views on Gender ,No ,From the Left ,view 
2015,Le Moyne College ,Timothy Dolan ,Commencement ,"Views on Sexual Orientation, Criminal/Other Misconduct ",No ,From the Left ,view 
2015,Princeton University ,Big Sean ,Other ,Other ,No ,From the Left ,view 
2015,Pennsylvania State University ,William Ayers ,Campus Speech/Debate ,"Other Political Views or Positions, Criminal/Other Misconduct ",No ,From the Right ,view 
2015,Harvard University ,Robin Steinberg ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Right ,view 
2015,St. John Fisher College ,Rudolph Giuliani ,Commencement ,"Racial Issues, Other Political Views or Positions ",No ,From the Left ,view 
2015,"University of California, Los Angeles ",Cornel West ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Right ,view 
2015,Alma College ,Ben Carson ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Views on Gender, Other Political Views or Positions ",No ,From the Left ,view 
2015,University of Southern California ,Luis Gutierrez ,Campus Speech/Debate ,Views on Immigration ,Yes ,From the Right ,view 
2015,University of Minnesota ,Moshe Halbertal ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Left ,view 
2015,Drexel University ,Noam Chomsky ,Commencement ,Views on Israeli-Palestinian Conflict ,No ,From the Right ,view 
2014,"University of California, Davis ",Clint Bolick ,Campus Speech/Debate ,"Racial Issues, Other Political Views or Positions, Views on Immigration ",No ,From the Left ,view 
2014,Goddard College ,Mumia Abu-Jamal ,Commencement ,Criminal/Other Misconduct ,No ,From the Right ,view 
2014,Valdosta State University ,Ben Carson ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Other Political Views or Positions ",No ,From the Right ,view 
2014,Tufts University ,Eran Shamir-Borer ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Left ,view 
2014,Montana Tech of the University of Montana ,Freg Gianforte ,Commencement ,"Views on Sexual Orientation, Evolution/Scientific Views ",No ,From the Left ,view 
2014,"University of California, Irvine ",Nonie Darwish ,Campus Speech/Debate ,Views on Islam ,Yes ,From the Left ,view 
2014,Barnard College ,Cecile Richards ,Commencement ,Views on Abortion/Contraception ,No ,From the Right ,view 
2014,Yale University ,Ayaan Hirsi Ali ,Campus Speech/Debate ,Views on Islam ,No ,From the Left ,view 
