color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Martin Scorsese,112,112,17000,354,David Carradine,22000,32645,Crime|Drama|Romance|Thriller,Robert De Niro,Mean Streets,67797,23737,David Proval,0,bar|catholic guilt|epilepsy|italian american|money,http://www.imdb.com/title/tt0070379/?ref_=fn_tt_tt_1,223,English,USA,R,5e5,1973,926,7.4,1.85,0
 Black and White,Alfred Hitchcock,290,108,13000,285,Vera Miles,606,32000000,Horror|Mystery|Thriller,Janet Leigh,Psycho,422432,1885,John Gavin,2,money|motel|rain|shower|theft,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,1040,English,USA,R,806947.0,1960,332,8.5,1.85,18000
Color,Jane Clark,NA,7,23,51,Traci Dinwiddie,344,NA,Romance|Short,Necar Zadegan,The Touch,118,726,Elea Oberon,0,lesbian|paris france|period piece|poem|poetess,http://www.imdb.com/title/tt1128219/?ref_=fn_tt_tt_1,NA,English,USA,,13e3,2007,281,5.2,1.85,30
Color,John Carpenter,318,101,0,598,Donald Pleasence,2000,47000000,Horror|Thriller,Jamie Lee Curtis,Halloween,157857,4400,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,1191,English,USA,R,3e5,1978,742,7.9,2.35,12000
Color,John Carpenter,318,101,0,598,Donald Pleasence,2000,47000000,Horror|Thriller,Jamie Lee Curtis,Halloween,157857,4400,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,1191,English,USA,R,3e5,1978,742,7.9,2.35,12000
Color,Tobe Hooper,277,88,365,177,Edwin Neal,383,30859000,Horror|Thriller,Gunnar Hansen,The Texas Chain Saw Massacre,96410,1094,Marilyn Burns,0,cannibal|chainsaw|hitchhiker|independent film|leatherface,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,826,English,USA,R,83532.0,1974,371,7.5,1.85,0
Color,Sharron Miller,8,79,0,23,Elizabeth MacRae,246,NA,Horror,Bernard Fox,Alien Zone,440,345,Charles Aidman,0,affair|child murderer|mortician|strangulation|supernatural power,http://www.imdb.com/title/tt0072626/?ref_=fn_tt_tt_1,21,English,USA,PG,35e4,1978,29,4.1,NA,44
 Black and White,Frank Borzage,42,79,57,99,Helen Hayes,998,NA,Drama|Romance|War,Gary Cooper,A Farewell to Arms,3519,1284,Adolphe Menjou,1,1910s|ambulance driver|italy|lake|nurse,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,46,English,USA,Unrated,8e5,1932,164,6.6,1.37,213
Color,Billy Bob Thornton,104,148,0,263,Dwight Yoakam,3000,24475416,Drama,Robert Duvall,Sling Blade,72443,3967,J.T. Walsh,0,friend|mental institution|murder|repair shop|small town,http://www.imdb.com/title/tt0117666/?ref_=fn_tt_tt_1,309,English,USA,R,89e4,1996,324,8.0,1.85,0
 Black and White,George A. Romero,284,96,0,56,Duane Jones,125,NA,Drama|Horror|Mystery,Judith O'Dea,Night of the Living Dead,87978,403,S. William Hinzman,5,cemetery|farmhouse|radiation|running out of gas|zombie,http://www.imdb.com/title/tt0063350/?ref_=fn_tt_tt_1,580,English,USA,Unrated,114e3,1968,108,8.0,1.85,0
Color,Jim Mickle,215,98,53,65,Michael Cerveris,530,18469,Drama|Horror|Sci-Fi,Connor Paolo,Stake Land,34263,1038,Nick Damici,1,canada|post apocalypse|road movie|vampire|vampire hunter,http://www.imdb.com/title/tt1464580/?ref_=fn_tt_tt_1,141,English,USA,R,65e4,2010,238,6.5,2.35,0
Color,Youssef Delara,17,88,8,471,David Bianchi,2000,NA,Thriller,Noel Gugliemi,Enter the Dangerous Mind,704,4469,Jason Priestley,0,dubstep|tied feet,http://www.imdb.com/title/tt2229377/?ref_=fn_tt_tt_1,9,English,USA,,8e5,2013,715,5.2,2.35,406
Color,Randall Miller,1,34,19,362,Elden Henson,882,333658,Comedy|Family|Musical|Romance|Short,William Hurt,Marilyn Hotchkiss' Ballroom Dancing and Charm School,97,1967,Michael Bower,0,student film|wonder years,http://www.imdb.com/title/tt0283465/?ref_=fn_tt_tt_1,2,English,USA,,34e3,1990,577,7.1,NA,16
Color,Lucky McKee,114,93,75,446,Will Estes,701,145540,Drama|Horror,James Duval,May,26773,2489,Nora Zehetner,1,case|doll|dry humor|friend|love,http://www.imdb.com/title/tt0303361/?ref_=fn_tt_tt_1,277,English,USA,R,5e5,2002,461,6.7,1.85,0
Color,Youssef Delara,16,80,8,183,Jenni Rivera,2000,2833383,Drama|Music,Noel Gugliemi,Filly Brown,910,2459,Jorge Diaz,1,,http://www.imdb.com/title/tt1869425/?ref_=fn_tt_tt_1,11,English,USA,R,427e3,2012,245,5.7,2.35,0
Color,Michael Curtiz,242,82,345,269,Claude Rains,2000,NA,Drama|Romance|War,Humphrey Bogart,Casablanca,387508,3442,Conrad Veidt,4,american expatriate|casablanca morocco|gestapo|police|visa,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,1123,English,USA,PG,95e4,1942,607,8.6,1.37,23000
Color,John G. Avildsen,141,145,80,794,Burgess Meredith,13000,117235247,Drama|Sport,Sylvester Stallone,Rocky,375240,16094,Carl Weathers,0,boxer|hometown hero|philadelphia pennsylvania|protective male|training,http://www.imdb.com/title/tt0075148/?ref_=fn_tt_tt_1,542,English,USA,PG,96e4,1976,1000,8.1,1.33,0
Color,Russ Meyer,101,109,199,44,Cynthia Myers,503,9000000,Comedy|Drama|Music,Charles Napier,Beyond the Valley of the Dolls,7584,731,Harrison Page,8,band|drugs|friendship|hollywood|satire,http://www.imdb.com/title/tt0065466/?ref_=fn_tt_tt_1,137,English,USA,X,9e5,1970,46,6.2,2.35,0
Color,Ti West,238,95,243,725,Greta Gerwig,969,100659,Horror,Lena Dunham,The House of the Devil,30160,3833,Dee Wallace,0,cult film|eclipse|haunted house|lunar eclipse|secret,http://www.imdb.com/title/tt1172994/?ref_=fn_tt_tt_1,193,English,USA,R,9e5,2009,962,6.4,1.85,0
Color,Nick Tomnay,112,93,11,271,Clayne Crawford,443,48430,Comedy|Crime|Thriller,David Hyde Pierce,The Perfect Host,20176,1452,Nathaniel Parker,1,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,http://www.imdb.com/title/tt1334553/?ref_=fn_tt_tt_1,73,English,USA,R,5e5,2010,298,6.8,1.85,0
Color,Kevin Hamedani,64,89,23,23,Janette Armand,199,NA,Comedy|Horror|Sci-Fi,Russell Hodgkinson,ZMD: Zombies of Mass Destruction,3650,292,Kevin Hamedani,0,cult|homosexual|island|survival horror|zombie,http://www.imdb.com/title/tt1134674/?ref_=fn_tt_tt_1,39,English,USA,R,5e5,2009,37,5.1,1.85,0
Color,Allison Burnett,8,100,12,354,Gia Mantegna,529,NA,Drama,Kimberly Williams-Paisley,Ask Me Anything,7870,2468,Cathryn de Prume,1,bare breasts|female protagonist,http://www.imdb.com/title/tt2505294/?ref_=fn_tt_tt_1,64,English,USA,Not Rated,95e4,2014,413,6.0,NA,884
Color,Richard Schenkman,6,90,29,558,Mike Colter,1000,NA,Comedy|Romance,Vanessa Williams,And Then Came Love,443,2504,Eartha Kitt,1,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor,http://www.imdb.com/title/tt0825346/?ref_=fn_tt_tt_1,4,English,USA,,989e3,2007,569,4.8,NA,42
Color,Sanjay Rawal,9,83,0,17,Robert Kennedy Jr.,56,NA,Documentary|News,Alma Martinez,Food Chains,265,104,Eve Ensler,0,two word title,http://www.imdb.com/title/tt2141739/?ref_=fn_tt_tt_1,3,English,USA,,913e3,2014,28,7.1,NA,489
 Black and White,Elia Kazan,134,108,603,279,Karl Malden,10000,9600000,Crime|Drama|Romance,Marlon Brando,On the Waterfront,100890,11094,Rod Steiger,2,death|dock|longshoreman|murder|union,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,281,English,USA,Not Rated,91e4,1954,416,8.2,1.85,0
Color,Kat Coiro,18,100,28,501,Geoff Stults,945,20186,Comedy,Justin Kirk,L!fe Happens,6025,2924,Kristen Johnston,8,friendship|los angeles california|one night stand|roommate|single mother,http://www.imdb.com/title/tt1726589/?ref_=fn_tt_tt_1,15,English,USA,R,93e4,2011,756,5.7,2.35,995
Color,David Slade,231,104,171,0,G.J. Echternkamp,109,1007962,Crime|Drama|Thriller,Odessa Rae,Hard Candy,131969,117,Patrick Wilson,0,chatting|missing person poster|online dating|photographer|sexual predator,http://www.imdb.com/title/tt0424136/?ref_=fn_tt_tt_1,651,English,USA,R,95e4,2005,8,7.1,2.35,12000
Color,Jamie Babbit,65,91,91,659,David Gallagher,982,381186,Drama|Thriller,Katy Mixon,The Quiet,13485,3299,Edie Falco,0,deaf|death|dysfunctional family|godparent|secret,http://www.imdb.com/title/tt0414951/?ref_=fn_tt_tt_1,90,English,USA,R,9e5,2005,796,6.4,2.35,698
Color,Ryan Coogler,327,85,0,88,Melonie Diaz,282,16097842,Biography|Drama|Romance,Ahna O'Reilly,Fruitvale Station,53919,687,Ariana Neal,0,22 year old|b.a.r.t.|bay area|birthday|police,http://www.imdb.com/title/tt2334649/?ref_=fn_tt_tt_1,168,English,USA,R,9e5,2013,270,7.5,1.85,17000
Color,Ramaa Mosley,62,101,6,727,Michael Angarano,975,6643,Comedy|Fantasy|Thriller,Jack McBrayer,The Brass Teapot,11965,4184,Alia Shawkat,2,mini dress|mini skirt|money|voyeur|voyeurism,http://www.imdb.com/title/tt1935902/?ref_=fn_tt_tt_1,39,English,USA,R,9e5,2012,947,6.4,2.35,0
Color,Charles Herman-Wurmfeld,73,88,0,102,Rian Bishop,465,442638,Comedy|Romance|Sport,John Enos III,The Hammer,5489,897,Adam Carolla,1,birthday|boxing|coach|gym|olympics,http://www.imdb.com/title/tt0814130/?ref_=fn_tt_tt_1,23,English,USA,R,85e4,2007,140,7.3,NA,337
Color,C. Jay Cox,35,107,6,522,Rob McElhenney,23000,819939,Comedy|Drama|Romance,Joseph Gordon-Levitt,Latter Days,14580,26017,Jacqueline Bisset,2,christian|male frontal nudity|mormon|mormon missionary|nudity,http://www.imdb.com/title/tt0345551/?ref_=fn_tt_tt_1,252,English,USA,R,85e4,2003,813,7.2,1.85,0
Color,Jamie Travis,115,88,15,567,Ari Graynor,938,1243961,Comedy,James Wolk,"For a Good Time, Call...",13421,3770,Nia Vardalos,0,friend|friendship|gay|phone sex|sex,http://www.imdb.com/title/tt1996264/?ref_=fn_tt_tt_1,34,English,USA,R,85e4,2012,904,6.0,2.35,0
Color,Rich Christiano,16,95,14,221,D. David Morin,284,15278,Drama|Fantasy|Sci-Fi,Gavin MacLeod,Time Changer,1742,1185,Hal Linden,1,bible|christian propaganda|christianity|time machine|zealot,http://www.imdb.com/title/tt0295725/?ref_=fn_tt_tt_1,158,English,USA,PG,825e3,2002,234,5.6,1.85,409
Color,Nick Love,16,86,63,175,Christopher Berry,489,NA,Action|Comedy|Drama|Sci-Fi,Eddie Griffin,American Hero,2706,1278,Michelle Tabora,2,father son relationship|female nudity|mother daughter relationship|reconciliation|superhero,http://www.imdb.com/title/tt4733536/?ref_=fn_tt_tt_1,23,English,USA,,99e4,2015,207,4.9,NA,549
Color,Natalie Bible',7,90,8,487,Samaire Armstrong,1000,NA,Mystery|Thriller,Tommy O'Reilly,Windsor Drive,169,3336,Matt Cohen,1,,http://www.imdb.com/title/tt2311428/?ref_=fn_tt_tt_1,6,English,USA,,1e5,2015,806,3.2,NA,312
Color,Todd Solondz,74,88,377,236,Ken Leung,529,4771000,Comedy|Drama,Heather Matarazzo,Welcome to the Dollhouse,26513,1502,Christina Vidal,1,bully|first crush|school|social outcast|taunting,http://www.imdb.com/title/tt0114906/?ref_=fn_tt_tt_1,174,English,USA,R,8e5,1995,502,7.5,1.85,0
